Field_Number,SNP Plate Number,SNP Well Position,Near_Town,Extraction_Location,Collector,Country,State,Lat,Long,Group,Stage,Stage (notes),Year,Month,Day,RAD?
2230-99721,5,B9,"La Barra Vieja,Gro",WIFL_MX1_D2,Mary Whitfield,MX,MX,16.7208,-99.6,NA,Wintering,,2004,3,7,
2230-99722,5,B10,"La Barra Vieja,Gro",WIFL_MX1_D3,Mary Whitfield,MX,MX,16.7208,-99.6,NA,Wintering,,2004,3,7,
2240-94377,5,B11,"La Barra Vieja,Gro",WIFL_MX1_I4,Mary Whitfield,MX,MX,16.7208,-99.6,NA,Wintering,,2004,3,6,
2240-94379,5,B12,"La Barra Vieja,Gro",WIFL_MX1_I6,Mary Whitfield,MX,MX,16.7208,-99.6,NA,Wintering,,2004,3,7,
2240-94380,5,C1,"La Barra Vieja,Gro",WIFL_MX1_I7,Mary Whitfield,MX,MX,16.7208,-99.6,NA,Wintering,,2004,3,7,
2240-94320,5,C2,L. de Piterro (near Tecpan),WIFL_MX1_F4,Eben Paxton,MX,MX,17.175,-100.61,NA,Wintering,,2002,2,13,
2240-94321,5,C3,L. de Piterro (near Tecpan),WIFL_MX1_F5,Eben Paxton,MX,MX,17.175,-100.61,NA,Wintering,,2002,2,13,
2240-94306,5,C4,"Ixtapa, P. Linda, Gro",WIFL_MX1_E3,Eben Paxton,MX,MX,17.69,-101.64,NA,Wintering,,2002,2,19,
2240-94308,5,C5,"Ixtapa, P. Linda, Gro",WIFL_MX1_E5,Eben Paxton,MX,MX,17.69,-101.64,NA,Wintering,,2002,2,18,
2240-94318,5,C6,"Ixtapa, P. Linda, Gro",WIFL_MX1_F3,Eben Paxton,MX,MX,17.69,-101.64,NA,Wintering,,2002,2,18,
2240-94322,5,C7,"East Habillal, P Azul, Mich",WIFL_MX1_F6,Eben Paxton,MX,MX,18.0177,-102.37,NA,Wintering,,2002,2,11,
2240-94323,5,C8,"East Habillal, P Azul, Mich",WIFL_MX1_F7,Eben Paxton,MX,MX,18.0177,-102.37,NA,Wintering,,2002,2,11,
2240-94324,5,C9,"Manzanillo Airport Marshes, Jal",WIFL_MX1_F8,Eben Paxton,MX,MX,19.1562,-104.56,NA,Wintering,,2002,2,6,
2240-94325,5,C10,"Manzanillo Airport Marshes, Jal",WIFL_MX1_F9,Eben Paxton,MX,MX,19.1562,-104.56,NA,Wintering,,2002,2,6,
2150-26564,5,C11,"Manzanillo Airport Marshes, Jal",WIFL_MX1_A6,Mary Whitfield,MX,MX,19.1616,-104.56,NA,Wintering,,2002,2,7,
2240-94326,5,C12,"Rio Aguacate, Jalisco",WIFL_MX1_G1,Eben Paxton,MX,MX,19.22,-104.64,NA,Wintering,,2002,2,5,
2240-04327,5,D1,"Lag. ? near R. Cuixmala, Jal",WIFL_MX1_D4,Mary Whitfield,MX,MX,19.3976,-104.97,NA,Wintering,,2002,2,4,
2240-04328,5,D2,"Rio Cuixmala, Jalisco",WIFL_MX1_D5,Mary Whitfield,MX,MX,19.3976,-104.97,NA,Wintering,,2002,2,3,
2240-94329,5,D3,San Blas - Crocodila,WIFL_MX1_G3,Eben Paxton,MX,MX,21.5257,-105.22,NA,Wintering,,2002,2,1,
2240-94330,5,D4,San Blas - Crocodila,WIFL_MX1_G4,Eben Paxton,MX,MX,21.5257,-105.22,NA,Wintering,,2002,2,1,
2240-94313,5,D5,"San Blas - Crocodila, Nay","WIFL_MX1_E6, E7",Eben Paxton,MX,MX,21.5277,-105.22,NA,Wintering,,2002,2,1,
2240-94381,5,D6,"NW San Blas, Nayarit",WIFL_MX1_I8,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,3,3,
2240-94387,5,D7,"NW San Blas, Nayarit",WIFL_MX2_A2,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,3,3,
2240-94388,5,D8,"NW San Blas, Nayarit",WIFL_MX2_A3,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,3,3,
2240-94391,5,D9,"NW San Blas, Nayarit",WIFL_MX2_A4,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,3,3,
2240-94392,5,D10,"SE San Blas, Nayarit",WIFL_MX2_A5,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,28,
2330-94329,5,D11,"San Blas, Cocodrilario Rd",WIFL_MX2_A7,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,20,
2330-99124,5,D12,"San Blas, Cocodrilario Rd",WIFL_MX2_A8,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,18,
2330-99723,5,E1,"San Blas, Cocodrilario Rd",WIFL_MX2_B8,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,15,
2330-99725,5,E2,"Quimichi, Novillero, Nayarit","WIFL_MX2_B9, C1",Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,25,
2330-99726,5,E3,"Rd to Quimichil,Novillero, Nayarit",WIFL_MX2_C2,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,24,
2330-99738,5,E4,"San Blas, Cocodrilario Rd",WIFL_MX2_C3,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,15,
2330-99739,5,E5,"NW San Blas, Nayarit","WIFL_MX2_C4, C5",Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,28,
2330-99740,5,E6,"San Blas, Cocodrilario Rd","WIFL_MX2_C6, C7",Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,28,
2330-99741,5,E7,"San Blas, Cocodrilario Rd",WIFL_MX2_C8,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,16,
2330-99742,5,E8,"San Blas, Cocodrilario Rd",WIFL_MX2_C9,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,18,
2330-99743,5,E9,"San Blas, Cocodrilario Rd",WIFL_MX2_D1,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,18,
2330-99744,5,E10,"SE San Blas, Nayarit","WIFL_MX2_D2, D3",Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,27,
2330-99745,5,E11,"Novillero, Nayarit",WIFL_MX2_D4,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,24,
2330-99752,5,E12,"San Blas, Cocodrilario Rd",WIFL_MX2_D6,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,20,
2330-99753,5,F1,"San Blas, Cocodrilario Rd",WIFL_MX2_D7,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,18,
2330-99754,5,F2,"San Blas, Cocodrilario Rd",WIFL_MX2_D8,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,18,
2330-99755,5,F3,"San Blas, Cocodrilario Rd",WIFL_MX2_D9,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,18,
2330-99756,5,F4,"San Blas, Cocodrilario Rd",WIFL_MX2_E1,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,18,
2330-99757,5,F5,"San Blas, Cocodrilario Rd",WIFL_MX2_E2,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,20,
2330-99758,5,F6,"Novillero, Nayarit",WIFL_MX2_E3,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,23,
2330-99759,5,F7,"Novillero, Nayarit",WIFL_MX2_E4,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,23,
2330-99760,5,F8,"Novillero, Nayarit",WIFL_MX2_E5,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2004,12,24,
2330-99794,5,F9,"Quimichi, Novillero, Nayarit",WIFL_MX2_E7,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,24,
2330-99795,5,F10,"SE San Blas, Nayarit",WIFL_MX2_E8,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,27,
2330-99796,5,F11,"SE San Blas, Nayarit",WIFL_MX2_E9,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,27,
2330-99797,5,F12,"SE San Blas, Nayarit",WIFL_MX2_F1,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,28,
2410-67720,5,G1,"Novillero, Nayarit",WIFL_MX2_F2,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,24,
2410-67721,5,G2,"Novillero, Nayarit",WIFL_MX2_F3,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,25,
2410-67722,5,G3,"NW San Blas, Nayarit",WIFL_MX2_F4,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,3,3,
2410-67723,5,G4,"NW San Blas, Nayarit",WIFL_MX2_F5,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,3,3,
2410-67735,5,G5,"Quimichi, Novillero, Nayarit",WIFL_MX2_F6,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,23,
2410-67737,5,G6,"Quimichi, Novillero, Nayarit",WIFL_MX2_F8,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,23,
2410-67740,5,G7,"Quimichi, Novillero, Nayarit",WIFL_MX2_G1,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,24,
2410-67741,5,G8,"NW San Blas, Nayarit",WIFL_MX2_G2,Mary Whitfield,MX,MX,22.3951,-105.55,NA,Wintering,,2006,2,28,
2330-99790,5,G9,"Finca Yolanda, Puerto San Jose","WIFL_MW3_I4, I5",Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2005,12,20,
2330-99791,5,G10,"Finca Yolanda, Puerto San Jose","WIFL_MW3_I6, I7, I8",Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2005,12,20,
2330-99792,5,G11,"Finca Yolanda, Puerto San Jose",WIFL_MW3_I9,Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2005,12,20,
2410-67712,5,G12,"Finca Yolanda, Puerto San Jose","WIFL_MW4_B9, C1, C2",Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2005,12,19,
2410-67744,5,H1,Rio Achiguate. Puerto San Jose,WIFL_MW4_D8,Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2007,2,4,
2410-67745,5,H2,Rio Achiguate. Puerto San Jose,WIFL_MW4_D9,Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2007,2,4,
2410-67746,5,H3,Rio Achiguate. Puerto San Jose,WIFL_MW4_E1,Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2007,2,4,
2410-67747,5,H4,Rio Achiguate. Puerto San Jose,WIFL_MW4_E2,Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2007,2,4,
2410-67748,5,H5,Rio Achiguate. Puerto San Jose,WIFL_MW4_E3,Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2007,2,5,
2410-67749,5,H6,Rio Achiguate. Puerto San Jose,WIFL_MW4_E4,Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2007,2,6,
2410-67794,5,H7,Rio Achiguate. Puerto San Jose,WIFL_MW4_G7,Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2007,2,4,
2410-67795,5,H8,Rio Achiguate. Puerto San Jose,WIFL_MW4_G8,Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2007,2,5,
2410-67796,5,H9,Rio Achiguate. Puerto San Jose,WIFL_MW4_G9,Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2007,2,5,
2410-67797,5,H10,Rio Achiguate. Puerto San Jose,WIFL_MW4_H1,Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2007,2,5,
2410-67798,6,A1,Rio Achiguate. Puerto San Jose,WIFL_MW4_H2,Mary Whitfield,GUAT,GUAT,13.930099,-90.913,NA,Wintering,,2007,2,6,
2240-94384,6,A2,La Avellena,WIFL_MW3_G2,Mary Whitfield,GUAT,GUAT,13.94695,-90.442,NA,Wintering,,2005,12,22,
2330-99793,6,A3,"Finca Las Ojas, Chiquimulilla","WIFL_MW4_A1, A2",Mary Whitfield,GUAT,GUAT,14.014981,-90.393,NA,Wintering,,2005,12,23,
2410-67719,6,A4,"Finca Las Ojas, Chiquimulilla",WIFL_MW4_D4,Mary Whitfield,GUAT,GUAT,14.014981,-90.393,NA,Wintering,,2005,12,22,
2240-94382,6,A5,"Rio Samala, San Sebastian","WIFL_MW3_F7, F8",Mary Whitfield,GUAT,GUAT,14.57433,-91.633,NA,Wintering,,2005,12,21,
2240-94383,6,A6,"Rio Samala, San Sebastian","WIFL_MW3_F9, G1",Mary Whitfield,GUAT,GUAT,14.57433,-91.633,NA,Wintering,,2005,12,21,
2410-67713,6,A7,"Rio Samala, San Sebastian","WIFL_MW4_C3, C4",Mary Whitfield,GUAT,GUAT,14.57433,-91.633,NA,Wintering,,2005,12,20,
2410-67714,6,A8,"Rio Samala, San Sebastian","WIFL_MW4_C5, C6",Mary Whitfield,GUAT,GUAT,14.57433,-91.633,NA,Wintering,,2005,12,20,
2410-67716,6,A9,"Rio Samala, San Sebastian","WIFL_MW4_C7, C8",Mary Whitfield,GUAT,GUAT,14.57433,-91.633,NA,Wintering,,2005,12,21,
2410-67717,6,A10,"Rio Samala, San Sebastian","WIFL_MW4_C9, D1",Mary Whitfield,GUAT,GUAT,14.57433,-91.633,NA,Wintering,,2005,12,21,
2410-67718,6,A11,"Rio Samala, San Sebastian","WIFL_MW4_D2, D3",Mary Whitfield,GUAT,GUAT,14.57433,-91.633,NA,Wintering,,2005,12,21,
2410-67766,6,A12,"Rio Samala, San Sebastian",WIFL_MW4_F3,Mary Whitfield,GUAT,GUAT,14.57433,-91.633,NA,Wintering,,2007,2,5,
2410-67767,6,B1,"La Guitarra, San Sebastian",WIFL_MW4_F4,Mary Whitfield,GUAT,GUAT,14.57433,-91.633,NA,Wintering,,2007,2,6,
2410-67768,6,B2,"La Guitarra, San Sebastian",WIFL_MW4_F5,Mary Whitfield,GUAT,GUAT,14.57433,-91.633,NA,Wintering,,2007,2,6,
2410-67769,6,B3,"La Guitarra, San Sebastian",WIFL_MW4_F6,Mary Whitfield,GUAT,GUAT,14.57433,-91.633,NA,Wintering,,2007,2,6,
2330-99778,6,B4,"El Rico, Los Amates",WIFL_MW3_G4,Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2005,12,11,
2330-99779,6,B5,"El Rico, Los Amates","WIFL_MW3_G5, G6",Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2007,1,24,
2330-99780,6,B6,"El Rico, Los Amates","WIFL_MW3_G7, G8",Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2005,12,11,
2330-99781,6,B7,"El Rico, Los Amates",WIFL_MW3_G9,Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2005,12,12,
2330-99782,6,B8,"El Rico, Los Amates",WIFL_MW3_H1,Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2005,12,12,
2330-99783,6,B9,"Quiche, Los Amates",WIFL_MW3_H2,Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2007,1,27,
2410-67701,6,B10,"Finca Nueva, Los Amates","WIFL_MW4_A3, A4",Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2007,1,26,
2410-67702,6,B11,"Finca Nueva, Los Amates","WIFL_MW4_A5, A6",Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2005,12,12,
2410-67707,6,B12,"Finca Nueva, Los Amates",WIFL_MW4_A9,Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2005,12,11,
2410-67708,6,C1,"Finca Nueva, Los Amates","WIFL_MW4_B1, B2, B3",Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2007,1,26,
2410-67709,6,C2,"Finca Nueva, Los Amates","WIFL_MW4_B4, B5",Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2005,12,11,
2410-67710,6,C3,"Finca Nueva, Los Amates","WIFL_MW4_B6, B7",Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2005,12,12,
2410-67758,6,C4,"Finca Nueva, Los Amates","WIFL_MW4_E5, E6, E7",Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2007,1,24,
2410-67760,6,C5,"Finca Nueva, Los Amates",WIFL_MW4_E8,Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2007,1,26,
2410-67761,6,C6,"Quiche, Los Amates",WIFL_MW4_E9,Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2007,1,27,
2410-67763,6,C7,"Quiche, Los Amates",WIFL_MW4_F1,Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2007,1,27,
05N9742,6,C8,QUICHE,,Mary Whitfield,GUAT,GUAT,15.4247,-90.863,NA,Wintering,,2005,12,13,
07N2160,6,C9,QUICHE,,Mary Whitfield,GUAT,GUAT,15.4247,-90.863,NA,Wintering,,2007,1,27,
2410-67787,6,C10,"El Rico, Los Amates","WIFL_MW4_F7, F8",Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2007,1,24,
2410-67788,6,C11,"El Rico, Los Amates","WIFL_MW4_F9, G1",Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2007,1,24,
2410-67789,6,C12,"El Rico, Los Amates",WIFL_MW4_G2,Mary Whitfield,GUAT,GUAT,15.246805,-89.104,NA,Wintering,,2007,1,24,
2330-99785,6,D1,"Rio Sauce, El Estor","WIFL_MW3_H3, H4, H5",Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2005,12,15,
2330-99786,6,D2,"Rio Sauce, El Estor","WIFL_MW3_H6, H7, H8",Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2005,12,15,
2330-99787,6,D3,"Finca La Cabana, El Estor",WIFL_MW3_H9,Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2005,12,16,
2330-99788,6,D4,"Finca La Cabana, El Estor","WIFL_MW3_I1, I2",Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2005,12,16,
2330-99789,6,D5,"Finca La Cabana, El Estor",WIFL_MW3_I3,Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2005,12,16,
2410-67705,6,D6,"Rio Sauce, El Estor","WIFL_MW4_A7, A8",Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2005,12,16,
2410-67711,6,D7,"Rio Sauce, El Estor",WIFL_MW4_B8,Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2005,12,16,
2410-67742,6,D8,"Finca La Cabana, El Estor",WIFL_MW4_D6,Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2007,1,31,
2410-67743,6,D9,"Finca La Cabana, El Estor",WIFL_MW4_D7,Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2007,1,31,
2410-67765,6,D10,"Rio Sauce, El Estor",WIFL_MW4_F2,Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2007,1,30,
2410-67790,6,D11,"Finca La Cabana, El Estor",WIFL_MW4_G3,Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2007,1,31,
2410-67791,6,D12,"Finca La Cabana, El Estor",WIFL_MW4_G4,Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2007,1,31,
2410-67792,6,E1,"Finca La Cabana, El Estor",WIFL_MW4_G5,Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2007,1,31,
2410-67793,6,E2,"Finca La Cabana, El Estor",WIFL_MW4_G6,Mary Whitfield,GUAT,GUAT,15.518396,-89.299,NA,Wintering,,2007,1,31,
2150-26520,6,E3,Jocotal E. (El Torre),WIFL_EL_G1,Eben Paxton,EL,EL,13.3192,-88.243,NA,Wintering,,2000,1,31,
2150-26553,6,E4,Jocotal E. (El Torre),WIFL_EL_H2,Eben Paxton,EL,EL,13.3192,-88.243,NA,Wintering,,2000,1,31,
2150-26545,6,E5,Jocotal W. (Desague S.),WIFL_EL_G6,Eben Paxton,EL,EL,13.3262,-88.27,NA,Wintering,,2000,1,30,
2150-26549,6,E6,Jocotal W. (Desague S.),WIFL_EL_G8,Eben Paxton,EL,EL,13.3262,-88.27,NA,Wintering,,2000,1,30,
2150-26552,6,E7,Jocotal W. (Desague S.),WIFL_EL_H1,Eben Paxton,EL,EL,13.3262,-88.27,NA,Wintering,,2000,1,30,
2150-26551,6,E8,Olomega RR,WIFL_EL_G9,Eben Paxton,EL,EL,13.3323,-88.02,NA,Wintering,,2000,1,29,
2150-26521,6,E9,Nancuchiname,WIFL_EL_G2,Eben Paxton,EL,EL,13.3413,-88.719,NA,Wintering,,2000,2,1,
2150-26522,6,E10,Nancuchiname,WIFL_EL_G3,Eben Paxton,EL,EL,13.3413,-88.719,NA,Wintering,,2000,2,1,
2150-26535,6,E11,Nancuchiname,WIFL_EL_G4,Eben Paxton,EL,EL,13.3413,-88.719,NA,Wintering,,2000,1,2,
2150-26536,6,E12,Nancuchiname,WIFL_EL_G5,Eben Paxton,EL,EL,13.3413,-88.719,NA,Wintering,,2000,2,1,
2150-26548,6,F1,Nancuchiname,WIFL_EL_G7,Eben Paxton,EL,EL,13.3413,-88.719,NA,Wintering,,2000,1,2,
2150-26562,6,F2,Nancuchiname,WIFL_EL_H6,Eben Paxton,EL,EL,13.3413,-88.719,NA,Wintering,,2000,1,2,
2150-26555,6,F3,San Juan SE,WIFL_EL_H3,Eben Paxton,EL,EL,13.368,-88.16,NA,Wintering,,2000,2,1,
2150-26560,6,F4,La Barra de Santiago,WIFL_EL_H5,Eben Paxton,EL,EL,13.692,-89.943,NA,Wintering,,2000,2,8,
2150-26568,6,F5,La Barra de Santiago,WIFL_EL_H7,Eben Paxton,EL,EL,13.692,-89.943,NA,Wintering,,2000,2,8,
2150-26569,6,F6,La Barra de Santiago,WIFL_EL_H8,Eben Paxton,EL,EL,13.692,-89.943,NA,Wintering,,2000,2,8,
2150-26570,6,F7,La Barra de Santiago,WIFL_EL_H9,Eben Paxton,EL,EL,13.692,-89.943,NA,Wintering,,2000,2,9,
2150-26571,6,F8,La Barra de Santiago,WIFL_EL_I1,Eben Paxton,EL,EL,13.692,-89.943,NA,Wintering,,2000,2,9,
2150-26572,6,F9,La Barra de Santiago,WIFL_EL_I2,Eben Paxton,EL,EL,13.692,-89.943,NA,Wintering,,2000,2,9,
1740-91963,6,F10,Puerto Jimenez,WIFL_CR2_A8,Eben Paxton,CR,CR,8.5155,-83.294,NA,Wintering,,1999,2,9,
1740-91964,6,F11,Puerto Jimenez,WIFL_CR2_A9,Eben Paxton,CR,CR,8.5155,-83.294,NA,Wintering,,1999,2,9,
1740-91965,6,F12,Puerto Jimenez,WIFL_CR2_B1,Eben Paxton,CR,CR,8.5155,-83.294,NA,Wintering,,1999,2,9,
1740-91958,6,G1,Coto/Coto 44,WIFL_CR2_A4,Eben Paxton,CR,CR,8.562,-82.958,NA,Wintering,,1999,2,6,
1740-91959,6,G2,Coto/Coto 44,WIFL_CR2_A5,Eben Paxton,CR,CR,8.562,-82.958,NA,Wintering,,1999,2,6,
1740-91960,6,G3,Coto/Coto 44,WIFL_CR2_A6,Eben Paxton,CR,CR,8.562,-82.958,NA,Wintering,,1999,2,7,
1740-91961,6,G4,Coto/Coto 44,WIFL_CR2_A7,Eben Paxton,CR,CR,8.562,-82.958,NA,Wintering,,1999,2,7,
2150-26574,6,G5,Playa Caleta,WIFL_CR2_D2,Eben Paxton,CR,CR,9.759,-85.266,NA,Wintering,,2000,2,11,
2150-26575,6,G6,Playa Caleta,WIFL_CR2_D3,Eben Paxton,CR,CR,9.759,-85.266,NA,Wintering,,2000,2,11,
1590-97479,6,G7,Chomes,WIFL_CR1_A1,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2000,10,8,
1710-20358,6,G8,Chomes,WIFL_CR1_A9,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,1999,3,21,
1710-20359,6,G9,Chomes,WIFL_CR1_B1,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,1999,3,21,
1710-46103,6,G10,Chomes,WIFL_CR1_B2,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,1999,12,19,
1710-46104,6,G11,Chomes,WIFL_CR1_B3,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,1999,12,19,
1710-46105,6,G12,Chomes,WIFL_CR1_B4,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,1999,12,20,
1710-46106,6,H1,Chomes,WIFL_CR1_B5,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,1999,12,20,
1710-46107,6,H2,Chomes,WIFL_CR1_B6,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,1999,12,20,
1710-46108,6,H3,Chomes,WIFL_CR1_B7,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,1999,12,21,
1710-46109,6,H4,Chomes,WIFL_CR1_B8,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,1999,12,21,
1710-46114,6,H5,Chomes,WIFL_CR1_C4,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2000,1,3,
1710-46115,6,H6,Chomes,WIFL_CR1_C5,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2000,1,3,
1710-46116,6,H7,Chomes,WIFL_CR1_C6,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2000,1,3,
1710-46117,6,H8,Chomes,WIFL_CR1_C7,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2000,1,4,
1710-46118,6,H9,Chomes,WIFL_CR1_C8,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2000,1,4,
1710-46119,6,H10,Chomes,WIFL_CR1_C9,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2000,1,5,
1710-46123,7,A1,Chomes,WIFL_CR1_D4,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2000,2,10,
1710-46124,7,A2,Chomes,WIFL_CR1_D5,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2000,2,10,
1710-46132,7,A3,Chomes,WIFL_CR1_E4,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2000,3,23,
1710-46133,7,A4,Chomes,WIFL_CR1_E5,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2000,3,29,
1710-46134,7,A5,Chomes,WIFL_CR1_E6,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2000,4,1,
1710-46138,7,A6,Chomes,WIFL_CR1_F1,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2001,1,9,
1710-46139,7,A7,Chomes,WIFL_CR1_F2,Eben Paxton,CR,CR,10.0693,-84.899,NA,Wintering,,2001,1,10,
