short_name,missing_data,population,Cluster1,Cluster 2,Cluster3,Cluster4,Cluster5
adaUT013,0,13,0.962,0.003,0.009,0.006,0.019
adaUT014,0,13,0.935,0.016,0.035,0.002,0.012
adaUT015,0,13,0.729,0.01,0.237,0.02,0.004
adaUT016,0,13,0.745,0.028,0.057,0.166,0.004
adaUT017,-3,13,0.557,0.07,0.341,0.029,0.004
adaUT018,0,13,0.317,0.215,0.458,0.007,0.004
adaUT019,0,13,0.956,0.015,0.022,0.003,0.004
adaUT020,0,13,0.912,0.066,0.016,0.005,0.002
adaUT021,0,13,0.839,0.006,0.138,0.012,0.004
adaUT022,0,13,0.953,0.006,0.027,0.008,0.006
adaUT023,0,13,0.92,0.011,0.063,0.003,0.003
adaUT024,0,13,0.913,0.003,0.011,0.028,0.045
adaUT026,0,13,0.86,0.02,0.049,0.066,0.006
adaUT030,0,13,0.909,0.005,0.071,0.002,0.013
adaUT031,0,13,0.905,0.01,0.079,0.003,0.003
adaUT032,0,13,0.355,0.034,0.47,0.138,0.003
adaUT033,-1,13,0.917,0.02,0.051,0.005,0.007
adaUT034,-1,13,0.936,0.008,0.047,0.004,0.004
adaUT035,0,13,0.949,0.007,0.019,0.023,0.002
adaUT036,0,13,0.957,0.024,0.013,0.004,0.003
adaUT037,-1,13,0.965,0.015,0.012,0.006,0.003
adaUT038,0,13,0.931,0.031,0.01,0.017,0.011
adaUT039,0,13,0.93,0.007,0.055,0.003,0.005
adaUT040,0,13,0.941,0.003,0.05,0.003,0.002
adaUT041,0,13,0.045,0.349,0.555,0.005,0.047
adaUT042,0,13,0.964,0.014,0.018,0.002,0.002
adaUT043,0,13,0.426,0.252,0.269,0.024,0.029
adaWA001,0,14,0.005,0.002,0.99,0.001,0.002
adaWA002,0,14,0.008,0.002,0.976,0.002,0.012
adaWA003,0,14,0.021,0.002,0.966,0.003,0.009
adaWY001,0,15,0.272,0.008,0.705,0.012,0.003
